12C(p,g)13N
Calculated with RatesMC 2.2 on Tue Aug 29 11:24:39 2023
Samples = 1000
 T9      RRate_low       Median Rate     RRate_high     f.u.
 0.001   1.418e-50       6.290e-50       3.060e-49        4.762e+00
 0.002   1.650e-38       7.314e-38       3.557e-37        4.757e+00
 0.003   1.165e-32       5.162e-32       2.510e-31        4.752e+00
 0.004   5.661e-29       2.508e-28       1.219e-27        4.748e+00
 0.005   2.364e-26       1.047e-25       5.088e-25        4.743e+00
 0.006   2.351e-24       1.041e-23       5.059e-23        4.740e+00
 0.007   9.243e-23       4.091e-22       1.988e-21        4.736e+00
 0.008   1.908e-21       8.443e-21       4.101e-20        4.732e+00
 0.009   2.462e-20       1.089e-19       5.290e-19        4.729e+00
 0.010   2.232e-19       9.846e-19       4.780e-18        4.725e+00
 0.011   1.531e-18       6.742e-18       3.273e-17        4.722e+00
 0.012   8.402e-18       3.699e-17       1.795e-16        4.719e+00
 0.013   3.847e-17       1.693e-16       8.217e-16        4.715e+00
 0.014   1.517e-16       6.675e-16       3.238e-15        4.712e+00
 0.015   5.273e-16       2.320e-15       1.125e-14        4.709e+00
 0.016   1.647e-15       7.245e-15       3.514e-14        4.706e+00
 0.018   1.235e-14       5.429e-14       2.632e-13        4.699e+00
 0.020   7.007e-14       3.072e-13       1.489e-12        4.693e+00
 0.025   2.261e-12       9.854e-12       4.774e-11        4.678e+00
 0.030   3.189e-11       1.382e-10       6.692e-10        4.662e+00
 0.040   1.502e-09       6.430e-09       3.110e-08        4.631e+00
 0.050   2.301e-08       9.799e-08       4.731e-07        4.598e+00
 0.060   1.850e-07       7.787e-07       3.753e-06        4.564e+00
 0.070   9.766e-07       4.060e-06       1.954e-05        4.526e+00
 0.080   3.863e-06       1.583e-05       7.613e-05        4.473e+00
 0.090   1.291e-05       5.082e-05       2.406e-04        4.310e+00
 0.100   4.679e-05       1.488e-04       6.589e-04        3.807e+00
 0.110   2.030e-04       5.062e-04       1.682e-03        3.058e+00
 0.120   8.805e-04       1.944e-03       4.598e-03        2.457e+00
 0.130   3.574e-03       7.238e-03       1.481e-02        2.118e+00
 0.140   1.253e-02       2.442e-02       4.765e-02        1.964e+00
 0.150   3.890e-02       7.413e-02       1.406e-01        1.904e+00
 0.160   1.055e-01       2.015e-01       3.746e-01        1.885e+00
 0.180   5.630e-01       1.100e+00       2.003e+00        1.883e+00
 0.200   2.171e+00       4.265e+00       7.756e+00        1.888e+00
 0.250   2.475e+01       4.795e+01       8.593e+01        1.891e+00
 0.300   1.186e+02       2.287e+02       4.143e+02        1.890e+00
 0.350   3.542e+02       6.820e+02       1.239e+03        1.888e+00
 0.400   7.849e+02       1.500e+03       2.706e+03        1.885e+00
 0.450   1.431e+03       2.736e+03       4.886e+03        1.880e+00
 0.500   2.302e+03       4.357e+03       7.740e+03        1.870e+00
 0.600   4.766e+03       8.695e+03       1.530e+04        1.811e+00
 0.700   8.864e+03       1.511e+04       2.547e+04        1.684e+00
 0.800   1.698e+04       2.605e+04       4.012e+04        1.534e+00
 0.900   3.146e+04       4.480e+04       6.464e+04        1.424e+00
 1.000   5.572e+04       7.602e+04       1.035e+05        1.370e+00
 1.250   1.631e+05       2.234e+05       2.990e+05        1.357e+00
 1.500   3.429e+05       4.824e+05       6.489e+05        1.373e+00
 1.750   5.872e+05       8.271e+05       1.114e+06        1.385e+00
 2.000   8.569e+05       1.217e+06       1.651e+06        1.392e+00
 2.500   1.395e+06       1.998e+06       2.737e+06        1.399e+00
 3.000   1.850e+06       2.654e+06       3.643e+06        1.402e+00
 3.500   2.189e+06       3.132e+06       4.313e+06        1.404e+00
 4.000   2.419e+06       3.466e+06       4.770e+06        1.405e+00
 5.000   2.632e+06       3.781e+06       5.197e+06        1.406e+00
 6.000   2.653e+06       3.807e+06       5.230e+06        1.407e+00
 7.000   2.575e+06       3.693e+06       5.071e+06        1.407e+00
 8.000   2.451e+06       3.511e+06       4.822e+06        1.408e+00
 9.000   2.306e+06       3.309e+06       4.539e+06        1.408e+00
10.000   2.163e+06       3.104e+06       4.253e+06        1.408e+00
